image,detection_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mask_quality,area_px,longest_side_px,area_cm2,longest_side_cm
rgb_105_png.rf.fabdd580ba59746c9471af3bd6b93caf.jpg,0,541.6,675.1,611.9,768.9,0.9657,1936,57.0,711.1,34.5
rgb_105_png.rf.fabdd580ba59746c9471af3bd6b93caf.jpg,1,971.7,116.4,1024.0,198.0,0.963,1314,50.0,482.6,30.3
rgb_121_png.rf.9404c4036a3e1a4a4cc6f5cba476082b.jpg,0,580.8,212.2,642.5,298.9,0.9647,1641,53.0,602.8,32.1
rgb_121_png.rf.9404c4036a3e1a4a4cc6f5cba476082b.jpg,1,399.5,666.8,476.0,768.7,0.9667,2364,64.0,868.3,38.8
rgb_121_png.rf.9404c4036a3e1a4a4cc6f5cba476082b.jpg,2,778.0,0.0,829.2,14.2,0.9061,267,30.0,98.1,18.2
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,0,383.4,507.0,449.4,600.1,0.9636,1912,58.0,702.3,35.2
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,1,377.2,632.2,447.0,726.6,0.9706,1964,58.0,721.4,35.2
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,2,446.2,485.9,529.8,599.0,0.9744,2836,68.0,1041.7,41.2
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,3,946.5,0.0,1019.7,37.8,0.9645,873,42.0,320.7,25.5
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,0,529.4,549.7,613.7,660.6,0.9714,2833,67.0,1040.6,40.6
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,1,543.6,0.0,618.2,56.4,0.9718,1342,46.0,492.9,27.9
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,2,416.2,418.2,480.6,507.8,0.9691,1784,55.0,655.3,33.3
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,3,371.9,836.4,435.9,938.0,0.9628,2040,64.0,749.3,38.8
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,4,453.6,537.7,523.3,631.1,0.9659,2046,57.0,751.5,34.5
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,5,538.5,659.6,600.2,744.6,0.9621,1607,50.4,590.3,30.6
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,6,389.4,530.2,453.4,614.2,0.9627,1689,51.0,620.4,30.9
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,7,402.0,104.2,473.1,208.3,0.9743,2331,64.0,856.2,38.8
