image,detection_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,width_px,height_px,area_bbox_px,area_ellipse_px,width_cm,height_cm,area_ellipse_cm2
rgb_105_png.rf.fabdd580ba59746c9471af3bd6b93caf.jpg,0,338.5,421.9,382.4,480.5,43.9,58.6,2573.8,2021.4,26.6,35.5,742.5
rgb_105_png.rf.fabdd580ba59746c9471af3bd6b93caf.jpg,1,607.3,72.7,640.0,123.8,32.7,51.1,1669.0,1310.8,19.8,30.9,481.5
rgb_121_png.rf.9404c4036a3e1a4a4cc6f5cba476082b.jpg,0,363.0,132.6,401.6,186.8,38.6,54.2,2091.5,1642.7,23.4,32.8,603.4
rgb_121_png.rf.9404c4036a3e1a4a4cc6f5cba476082b.jpg,1,249.7,416.8,297.5,480.4,47.8,63.7,3044.1,2390.8,29.0,38.6,878.2
rgb_121_png.rf.9404c4036a3e1a4a4cc6f5cba476082b.jpg,2,486.3,0.0,518.3,8.9,32.0,8.8,282.8,222.1,19.4,5.4,81.6
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,0,239.6,316.9,280.9,375.1,41.3,58.2,2402.8,1887.1,25.0,35.3,693.2
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,1,235.7,395.1,279.4,454.2,43.7,59.1,2578.5,2025.1,26.5,35.8,743.8
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,2,278.9,303.7,331.1,374.4,52.2,70.6,3688.5,2896.9,31.6,42.8,1064.1
rgb_126_png.rf.b3e6cbefd06b70e1c48d414112ed1b29.jpg,3,591.6,0.0,637.3,23.7,45.8,23.6,1081.8,849.7,27.7,14.3,312.1
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,0,330.9,343.5,383.5,412.9,52.7,69.3,3652.1,2868.4,31.9,42.0,1053.6
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,1,339.7,0.0,386.4,35.2,46.7,35.2,1644.8,1291.8,28.3,21.4,474.5
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,2,260.1,261.4,300.4,317.4,40.3,56.0,2256.7,1772.4,24.4,33.9,651.0
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,3,232.4,522.7,272.4,586.2,40.0,63.5,2539.0,1994.1,24.2,38.5,732.5
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,4,283.5,336.1,327.1,394.4,43.6,58.3,2540.5,1995.3,26.4,35.3,732.9
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,5,336.6,412.3,375.1,465.4,38.5,53.1,2046.3,1607.2,23.4,32.2,590.3
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,6,243.4,331.3,283.4,383.9,40.0,52.6,2103.8,1652.3,24.3,31.9,606.9
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,7,251.2,65.2,295.7,130.2,44.5,65.0,2890.9,2270.5,27.0,39.4,834.0
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,8,238.7,580.7,286.7,639.8,48.0,59.1,2836.0,2227.4,29.1,35.8,818.1
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,9,293.4,0.0,339.4,21.4,46.0,21.4,983.1,772.1,27.9,13.0,283.6
rgb_158_png.rf.41165d400680b6f815d6ca6dd5736de0.jpg,10,558.6,0.0,590.1,8.8,31.5,8.8,276.7,217.3,19.1,5.3,79.8
rgb_164_png.rf.3f368af0697fee80124728499ceb8dac.jpg,0,272.3,109.7,320.0,172.9,47.7,63.2,3015.0,2368.0,28.9,38.3,869.8
rgb_164_png.rf.3f368af0697fee80124728499ceb8dac.jpg,1,325.2,484.0,373.7,552.2,48.5,68.2,3306.7,2597.1,29.4,41.3,953.9
rgb_164_png.rf.3f368af0697fee80124728499ceb8dac.jpg,2,252.7,457.6,300.6,524.1,48.0,66.5,3190.8,2506.0,29.1,40.3,920.5
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,0,309.4,491.5,365.7,568.7,56.3,77.1,4341.0,3409.4,34.1,46.7,1252.3
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,1,252.9,35.5,296.7,103.9,43.9,68.4,3000.0,2356.2,26.6,41.4,865.4
rgb_179_png.rf.b2c78902736b159ccbae7d326daef368.jpg,2,339.3,76.8,384.8,143.7,45.5,66.9,3041.2,2388.5,27.5,40.5,877.3
